Dimension 1,Dimension 2,Slug,Title
9.934014,-23.426332,20-grüne-hauptwege---wanderkarte,20 Grüne Hauptwege - Wanderkarte
9.933993,-23.423578,20-grüne-hauptwege---wanderkarte,20 Grüne Hauptwege - Wanderkarte
6.222975,-32.182873,abstellflächen-für-mikromobilitätsangebote,Abstellflächen für Mikromobilitätsangebote
6.2267675,-32.169525,ortungszonen-der-abstellflächen-für-mikromobilitätsangebote,Ortungszonen der Abstellflächen für Mikromobilitätsangebote
6.218364,-32.14308,abstellflächen-für-mikromobilitätsangebote,Abstellflächen für Mikromobilitätsangebote
-15.566319,-27.631878,adressen-berlin,Adressen Berlin
-29.114117,-51.296124,afis-berlin,AFIS Berlin
-15.633726,-27.626299,adressen-berlin,Adressen Berlin
-16.429024,-27.434196,adressen-im-inspire-datenmodell,Adressen im INSPIRE-Datenmodell
-29.284725,-52.525932,afis-berlin---höhenfestpunkte-1-ordnung,AFIS Berlin - Höhenfestpunkte 1. Ordnung
-15.618077,-30.741392,adressen-regionales-bezugssystem-rbs,Adressen Regionales Bezugssystem (RBS)
-15.628507,-30.721718,adressen-regionales-bezugssystem-rbs,Adressen Regionales Bezugssystem (RBS)
-27.093967,-40.481472,alkis-berlin-gebäude,ALKIS Berlin Gebäude
-30.12088,-51.604538,afis-berlin---geodätische-grundnetzpunkte-1-genauigkeitsstufe,AFIS Berlin - Geodätische Grundnetzpunkte 1. Genauigkeitsstufe
-30.308317,20.557774,bodenarten-2010-umweltatlas,Bodenarten 2010 (Umweltatlas)
-30.183548,-51.61712,afis-berlin---geodätische-grundnetzpunkte-2-genauigkeitsstufe,AFIS Berlin - Geodätische Grundnetzpunkte 2. Genauigkeitsstufe
-30.244,-51.664955,afis-berlin---geodätische-grundnetzpunkte-3-genauigkeitsstufe,AFIS Berlin - Geodätische Grundnetzpunkte 3. Genauigkeitsstufe
-29.336859,-52.542995,afis-berlin---höhenfestpunkte-2-ordnung,AFIS Berlin - Höhenfestpunkte 2. Ordnung
-29.435038,-52.670708,afis-berlin---höhenfestpunkte-3-ordnung,AFIS Berlin - Höhenfestpunkte 3. Ordnung
-29.056911,-52.18412,afis-berlin---schwerefestpunkte-1-ordnung,AFIS Berlin - Schwerefestpunkte 1. Ordnung
22.082344,30.942947,klimamodell-berlin-klimaanalysekarte-2015---kaltlufteinwirkbereiche-siedlung-brandenburg-umweltatlas,Klimamodell Berlin: Klimaanalysekarte 2015 - Kaltlufteinwirkbereiche Siedlung Brandenburg (Umweltatlas)
-29.623875,-37.620487,alkis-berlin-amtliches-liegenschaftskatasterinformationssystem,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem)
-27.564968,-42.039787,alkis-berlin-bauwerke-linien,ALKIS Berlin Bauwerke (Linien)
-27.33621,-41.681694,alkis-berlin-gebäude-linien,ALKIS Berlin Gebäude (Linien)
-27.820353,-41.91148,alkis-berlin-bauwerke,ALKIS Berlin Bauwerke
-29.045101,-39.95305,alkis-berlin-gemarkung,ALKIS Berlin Gemarkung
-30.726917,-39.26454,alkis-berlin-besondere-flurstücksgrenzen,ALKIS Berlin Besondere Flurstücksgrenzen
-28.00325,-38.789852,alkis-berlin-bezirke,ALKIS Berlin Bezirke
-29.294365,-40.85275,alkis-berlin-flur,ALKIS Berlin Flur
20.975304,31.836332,klimamodell-berlin-klimaanalysekarte-2015---lärmschutzeinrichtungen-umweltatlas,Klimamodell Berlin: Klimaanalysekarte 2015 - Lärmschutzeinrichtungen (Umweltatlas)
21.555874,32.37664,klimamodell-berlin-klimaanalysekarte-2015---luftaustauschbahnen-umweltatlas,Klimamodell Berlin: Klimaanalysekarte 2015 - Luftaustauschbahnen (Umweltatlas)
22.541763,31.978191,klimamodell-berlin-klimaanalysekarte-2015---straßenflächen-berlin-umweltatlas,Klimamodell Berlin: Klimaanalysekarte 2015 - Straßenflächen Berlin (Umweltatlas)
-30.138094,-39.629173,alkis-berlin-flurstücke,ALKIS Berlin Flurstücke
-30.041655,-39.32346,alkis-berlin-flurstücke,ALKIS Berlin Flurstücke
-27.4538,-40.880478,alkis-berlin-gebäude,ALKIS Berlin Gebäude
-28.700384,-39.74181,alkis-berlin-gemeinde,ALKIS Berlin Gemeinde
-2.2342076,-82.3031,solaranlagen---photovoltaik-umweltatlas,Solaranlagen - Photovoltaik (Umweltatlas)
-32.325592,-41.48827,alkis-berlin-gewässer--und-vegetationsflächen,ALKIS Berlin Gewässer- und Vegetationsflächen
-29.207413,-40.106514,alkis-berlin-land,ALKIS Berlin Land
-28.094355,-38.48401,alkis-berlin-landesgrenze,ALKIS Berlin Landesgrenze
-28.917599,-39.735264,alkis-berlin-ortsteil,ALKIS Berlin Ortsteil
-28.202475,-38.94392,alkis-berlin-ortsteile,ALKIS Berlin Ortsteile
-30.512356,-40.452015,alkis-berlin-rechtliche-festlegungen,ALKIS Berlin Rechtliche Festlegungen
-29.92824,-42.497295,alkis-berlin-relief-geländekante,ALKIS Berlin Relief (Geländekante)
21.965586,32.341934,klimamodell-berlin-klimaanalysekarte-2015-umweltatlas,Klimamodell Berlin: Klimaanalysekarte 2015 (Umweltatlas)
-29.90486,-42.468792,alkis-berlin-relief,ALKIS Berlin Relief
-29.568571,-37.59338,alkis-berlin-sw-amtliches-liegenschaftskatasterinformationssystem,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem)
71.97503,5.6691437,alleinerziehende-haushalte-2020,Alleinerziehende Haushalte 2020
-31.458273,-40.953857,alkis-berlin-tatsächliche-nutzung,ALKIS Berlin Tatsächliche Nutzung
-32.529682,-41.653343,alkis-berlin-vegetation-linien,ALKIS Berlin Vegetation (Linien)
-32.782757,-41.733303,alkis-berlin-vegetation-punkte,ALKIS Berlin Vegetation (Punkte)
71.83427,5.6911774,alleinerziehende-haushalte-2014---v-2,Alleinerziehende Haushalte 2014 - V 2
22.633308,32.589867,klimamodell-berlin-klimaanalysekarte-2015---windfeldveränderungen-umweltatlas,Klimamodell Berlin: Klimaanalysekarte 2015 - Windfeldveränderungen (Umweltatlas)
11.893042,-38.87442,straßenbefahrung---poller,Straßenbefahrung - Poller
10.350598,-43.17666,straßenbefahrung---radweg,Straßenbefahrung - Radweg
71.80947,5.691786,alleinerziehende-haushalte-2014,Alleinerziehende Haushalte 2014
71.998795,5.6809325,alleinerziehende-haushalte-2020---v2,Alleinerziehende Haushalte 2020 - V2
-3.942719,-0.7017363,alters--und-bestandesstruktur-der-wälder---forstbetriebskarte-2005-umweltatlas,Alters- und Bestandesstruktur der Wälder - Forstbetriebskarte 2005 (Umweltatlas)
68.95097,15.994505,altersarmut-2020---v2,Altersarmut 2020 - V2
